2024-11-19 15:12:31.103 [main] INFO  icu.bystart.base.BaseServerApplication - [logStarting,55] - Starting BaseServerApplication using Java 1.8.0_412 on handsome.local with PID 4273 (/Users/bystart/Desktop/项目/base-server/base-server/target/classes started by bystart in /Users/bystart/Desktop/项目/base-server/base-server)
2024-11-19 15:12:31.104 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
2024-11-19 15:12:31.104 [main] INFO  icu.bystart.base.BaseServerApplication - [logStartupProfileInfo,637] - The following 1 profile is active: "dev"
2024-11-19 15:12:31.542 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - [multipleStoresDetected,262] - Multiple Spring Data modules found, entering strict repository configuration mode
2024-11-19 15:12:31.543 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - [registerRepositoriesIn,132] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-11-19 15:12:31.555 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - [registerRepositoriesIn,201] - Finished Spring Data repository scanning in 4 ms. Found 0 Redis repository interfaces.
2024-11-19 15:12:31.888 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - [initialize,108] - Tomcat initialized with port(s): 8080 (http)
2024-11-19 15:12:31.893 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8080"]
2024-11-19 15:12:31.893 [main] INFO  org.apache.catalina.core.StandardService - [log,173] - Starting service [Tomcat]
2024-11-19 15:12:31.893 [main] INFO  org.apache.catalina.core.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.69]
2024-11-19 15:12:31.942 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - [log,173] - Initializing Spring embedded WebApplicationContext
2024-11-19 15:12:31.943 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - [prepareWebApplicationContext,292] - Root WebApplicationContext: initialization completed in 816 ms
2024-11-19 15:12:32.600 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - [<init>,53] - Adding welcome page: class path resource [static/index.html]
2024-11-19 15:12:32.722 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8080"]
2024-11-19 15:12:32.732 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - [start,220] - Tomcat started on port(s): 8080 (http) with context path ''
2024-11-19 15:12:32.935 [main] INFO  icu.bystart.base.BaseServerApplication - [logStarted,61] - Started BaseServerApplication in 2.079 seconds (JVM running for 2.489)
